 Age,RACE,famsize,INCOME,REGION,categories,colors,prices.amountMax,prices.amountMin,prices.color,prices.isSale,gender
29,WHITE,3,MINCOME,MIDWEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,67.99,Gray,FALSE,Female
37,BLACK,3,MINCOME,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,59.49,Gray,FALSE,Female
28,WHITE,2,HINCOME,MIDWEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,79.99,Camel,FALSE,Female
44,BLACK,2,HINCOME,NORTHEAST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,67.99,Stone,FALSE,Female
32,WHITE,1,LINCOME,WEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,79.99,Black,FALSE,Female
44,WHITE,4,MINCOME,MIDWEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,55.99,Camel,FALSE,Female
27,WHITE,1,LINCOME,WEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,55.99,Gray,FALSE,Female
34,WHITE,2,HINCOME,MIDWEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,79.99,Blue,FALSE,Female
33,WHITE,6,MINCOME,WEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,69.99,Camel,FALSE,Female
42,WHITE,6,MINCOME,WEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,89.99,Blue,FALSE,Female
38,BLACK,1,LINCOME,MIDWEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,79.99,Gray,FALSE,Female
33,WHITE,2,HINCOME,MIDWEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,63.99,Black,FALSE,Female
35,WHITE,2,HINCOME,NORTHEAST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,63.99,Camel,FALSE,Female
25,WHITE,4,LINCOME,WEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,67.99,Camel,FALSE,Female
32,WHITE,6,POOR,WEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,79.99,Stone,FALSE,Female
35,WHITE,2,HINCOME,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,52.49,Camel,FALSE,Female
37,WHITE,2,HINCOME,MIDWEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,52.49,Gray,FALSE,Female
25,WHITE,2,HINCOME,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,69.99,Gray,FALSE,Female
26,WHITE,2,MINCOME,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,59.49,Camel,FALSE,Female
31,WHITE,4,MINCOME,MIDWEST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,79.99,Gray,FALSE,Female
36,WHITE,5,LINCOME,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,79.99,Camel,FALSE,Female
38,WHITE,2,HINCOME,NORTHEAST,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",89.99,79.99,Stone,FALSE,Female
38,BLACK,4,POOR,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,55.99,Black,FALSE,Female
39,BLACK,3,POOR,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,79.99,Gray,FALSE,Female
25,BLACK,4,HINCOME,SOUTH,"Womens,Shoes,Boots,Journee Collection","Black,Grey,Beige",79.99,55.99,Camel,FALSE,Female
